ID HCME               Pre-event               Last full visibility COR 2              GCS PARAMETER                     FIT
-                     date            time    date            time    carlon  stolon  stolat  tilt    ssprat  h_angle   apex s  CME-mass
-                     yyyymmdd        hhmm    yyyymmdd        hhmm    deg     deg     deg     deg     -       deg       km/s    g
HCME_A__20110110_01   2011-01-09      20:08   2011-01-10      07:08   200     67      21      -35     0.26    8.4       339     2.30E+15
HCME_A__20110124_01   2011-01-24      01:08   2011-01-24      10:08   4       57      -8      -40     0.15    7         577     4.70E+15
HCME_A__20110130_01   2011-01-30      00:08   2011-01-30      20:08   182     -40     -12     -20     0.26    11.7      309     5.60E+15
HCME_A__20110214_01   2011-02-14      13:08   2011-02-15      00:08   0       -23     7       12      0.28    23.2      331     3.40E+15
HCME_A__20110216_01   2011-02-16      02:08   2011-02-16      08:08   340     -25     31      -20     0.39    20.7      427     2.50E+15
HCME_A__20110303_01   2011-03-03      01:08   2011-03-03      10:08   160     -6      -22     -20     0.3     12.9      465     3.10E+15
HCME_A__20110314_02   2011-03-14      04:00   2011-03-14      14:09   335     -44     37      -36     0.26    52        420     3.00E+15
HCME_B__20110320_01   2011-03-21      02:08   2011-03-21      04:08   51      118     22      -69     0.33    63.2      1630    2.70E+15
HCME_A__20110325_01   2011-03-25      06:08   2011-03-25      19:08   235     3       -7      0       0.39    24        330     2.00E+15
HCME_B__20110330_01   2011-03-29      20:00   2011-03-29      23:24   76      -102    -2      0       0.83    20.1      1617    6.00E+15
HCME_A__20110404_01   2011-04-03      00:08   2011-04-03      06:08   86      -34     -48     22      0.39    34.4      662     2.50E+16
HCME_B__20110404_01   2011-04-04      00:08   2011-04-04      06:08   86      -21     8       -17     0.26    19.6      916     5.00E+15
HCME_A__20110407_01   2011-04-07      05:08   2011-04-07      12:08   58      -6      -17     0       0.59    50.9      444     5.60E+15
HCME_A__20110412_01   2011-04-12      00:08   2011-04-12      06:08   26      25      31      -4      0.62    38.6      355     3.10E+15
HCME_A__20110417_01   2011-04-17      00:08   2011-04-17      10:08   240     -53     22      16      0.21    10.9      291     3.90E+15
HCME_B__20110519_01   2011-05-18      18:08   2011-05-18      22:08   316     79      -2      -16     0.76    43.3      1024    3.00E+15
HCME_B__20110519_01   2011-05-19      04:08   2011-05-19      09:08   299     68      22      10      0.15    15.1      848     3.50E+15
HCME_A__20110529_01   2011-05-29      10:08   2011-05-29      15:08   35      -60     -7      13      0.63    53.1      755     3.10E+15
HCME_A__20110601_01   2011-06-01      03:08   2011-06-01      11:08   41      -16     -14     1       0.18    15.4      374     3.60E+15
HCME_B__20110601_01   2011-06-01      17:08   2011-06-01      21:08   60      8       -4      5       0.43    23.8      643     5.00E+15
HCME_A__20110602_01   2011-06-02      05:08   2011-06-02      09:08   97      42      12      55      0.4     24        1070    1.30E+16
HCME_A__20110604_02   2011-06-04      06:08   2011-06-04      08:08   140     121     6       -24     0.71    21.2      1070    1.50E+16
HCME_A__20110605_01   2011-06-04      21:08   2011-06-04      23:08   141     130     19      55      0.7     36.6      2616    1.10E+16
HCME_A__20110605_02   2011-06-05      04:08   2011-06-05      11:08   335     -30     48      80      0.38    33.5      484     6.40E+15
HCME_A__20110606_01   2011-06-06      07:08   2011-06-06      13:08   97      107     -32     32      0.37    11.5      551     5.10E+15
HCME_A__20110607_01   2011-06-07      06:08   2011-06-07      08:08   34      54      -14     -5      0.6     10.3      1427    2.20E+16
HCME_A__20110613_01   2011-06-12      16:08   2011-06-13      01:08   356     92      8       -44     0.7     31.6      367     5.00E+16
HCME_A__20110614_01   2011-06-14      06:08   2011-06-14      12:08   202     -43     -1      36      0.28    57.3      613     1.80E+16
HCME_A__20110621_01   2011-06-21      02:08   2011-06-21      05:08   149     -7      13      -9      0.32    26.6      1110    5.20E+15
HCME_A__20110803_01   2011-08-03      12:54   2011-08-03      15:30   324     23      24      -40     0.52    19.8      1273    4.00E+15
HCME_A__20110804_01   2011-08-04      03:54   2011-08-04      04:54   329     35      22      60      0.79    62.9      1784    1.20E+16
HCME_A__20110811_01   2011-08-11      10:54   2011-08-11      12:54   262     65      2       50      0.23    21        1017    3.00E+16
HCME_B__20110902_01   2011-09-02      03:54   2011-09-02      15:55   127     -138    -33     23      0.56    9.5       265     4.10E+15
HCME_B__20110907_01   2011-09-06      20:00   2011-09-07      01:36   246     40      34      27      0.42    35.5      623     8.40E+15
HCME_A__20110908_01   2011-09-07      22:54   2011-09-08      01:54   227     34      32      3       0.45    15.9      699     5.00E+15
HCME_A__20110909_01   2011-09-09      05:54   2011-09-09      12:54   201     27      -3      16      0.37    19.3      307     2.70E+15
HCME_A__20110910_01   2011-09-10      02:54   2011-09-10      06:54   179     15      48      -40     0.48    10.9      635     3.60E+15
HCME_A__20110910_02   2011-09-10      08:54   2011-09-10      12:54   192     31      -16     26      0.43    34.9      800     4.80E+15
HCME_A__20110914_01   2011-09-13      22:54   2011-09-14      02:54   132     19      21      -6      0.47    12.3      504     4.20E+15
